,PLAN,AVANCE_CARRERA,ACCESO,SUBACCESO,CONVOCATORIA,T_DOCUMENTO,GENERO,EDAD,NUMERO_MATRICULAS,PAPA,PBM_CALCULADO,ESTRATO,MUNICIPIO_RESIDENCIA,PROVINCIA_NACIMIENTO,MUNICIPIO_NACIMIENTO,PAIS-NACIONALIDAD,VICTIMAS_DEL_CONFLICTO,DISCAPACIDAD,CARACTER_COLEGIO,PUNTAJE_ADMISION
1114,INGENIERÍA BIOLÓGICA,17.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,23,4.0,3.9,3,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,462.541
1115,INGENIERÍA BIOLÓGICA,13.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,HOMBRE,24,4.0,3.9,8,2,,BOLÍVAR,CARTAGENA DE INDIAS,COLOMBIA,NO,NO,Plantel Oficial,464.792
1116,BIOLOGÍA,18.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,19,4.0,3.5,3,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,386.56
1117,BIOLOGÍA,19.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,22,4.0,3.9,10,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,VISUAL,Plantel Oficial,427.585
1118,BIOLOGÍA,11.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,NUMERO DE CEDULA,MUJER,19,4.0,3.7,4,2,SAN DIEGO,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,475.679
1119,ESTADÍSTICA,10.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,HOMBRE,23,3.0,4.0,14,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,VISUAL,Plantel Oficial,563.161
1120,GESTIÓN CULTURAL Y COMUNICATIVA,7.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,MUJER,19,3.0,3.4,5,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,449.035
1121,ESTADÍSTICA,12.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,"PAES - POBLACION NEGRA, AFROCOLOMBIANA, PALENQUERA Y RAIZAL",2023-1S,TARJETA IDENTIDAD,HOMBRE,19,3.0,4.4,2,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,519.221
1122,ESTADÍSTICA,14.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,17,3.0,4.7,30,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,737.165
1123,ESTADÍSTICA,10.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,4.5,6,2,LA PAZ,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,496.167
1124,ESTADÍSTICA,9.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,NUMERO DE CEDULA,MUJER,20,3.0,3.7,2,1,,CESAR,LA PAZ,COLOMBIA,SI,NO,Plantel Oficial,451.182
1125,ESTADÍSTICA,12.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,"PAES - POBLACION NEGRA, AFROCOLOMBIANA, PALENQUERA Y RAIZAL",2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,4.2,15,2,AGUSTÍN CODAZZI,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Privado,431.98
1126,INGENIERÍA MECATRÓNICA,7.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,3.3,16,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,572.776
1127,INGENIERÍA BIOLÓGICA,7.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,HOMBRE,19,3.0,4.3,3,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,609.584
1128,INGENIERÍA BIOLÓGICA,11.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-1S,TARJETA IDENTIDAD,HOMBRE,18,3.0,3.9,7,2,SAN DIEGO,CESAR,SAN DIEGO,COLOMBIA,SI,NO,Plantel Oficial,551.073
1129,GEOGRAFÍA,6.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,HOMBRE,33,3.0,3.0,6,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,570.698
1130,INGENIERÍA BIOLÓGICA,4.0,TRASLADO,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,MUJER,18,1.0,4.7,6,2,OCAÑA,NORTE DE SANTANDER,SAN JOSÉ DE CÚCUTA,COLOMBIA,NO,NO,Plantel Oficial,
1131,GESTIÓN CULTURAL Y COMUNICATIVA,10.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,HOMBRE,34,3.0,4.0,6,2,,ATLÁNTICO,BARRANQUILLA,COLOMBIA,NO,NO,Plantel Oficial,497.783
1132,GEOGRAFÍA,9.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-1S,NUMERO DE CEDULA,HOMBRE,18,3.0,3.1,6,2,,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,443.208
1133,ESTADÍSTICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,37,2,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,400.962
1134,ESTADÍSTICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,NUMERO DE CEDULA,HOMBRE,18,,,1,1,,ATLÁNTICO,SABANALARGA,COLOMBIA,NO,NO,Plantel Oficial,420.912
1135,ESTADÍSTICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,HOMBRE,16,,,38,1,,LA GUAJIRA,MAICAO,COLOMBIA,NO,NO,Plantel Oficial,497.351
1136,ESTADÍSTICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,NUMERO DE CEDULA,MUJER,20,,,43,2,,CESAR,CHIMICHAGUA,COLOMBIA,NO,NO,Plantel Privado,341.276
1137,ESTADÍSTICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,HOMBRE,16,,,39,2,,CESAR,TAMALAMEQUE,COLOMBIA,NO,NO,Plantel Oficial,388.831
1138,GESTIÓN CULTURAL Y COMUNICATIVA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,TARJETA IDENTIDAD,MUJER,17,,,48,0,,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Oficial,445.293
1139,INGENIERÍA BIOLÓGICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,MUJER,16,,,5,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,509.008
1140,BIOLOGÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,NUMERO DE CEDULA,HOMBRE,22,,,38,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,438.506
1141,GEOGRAFÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,TARJETA IDENTIDAD,MUJER,16,,,4,1,,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Oficial,364.943
1142,GEOGRAFÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,53,0,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,414.156
1143,GESTIÓN CULTURAL Y COMUNICATIVA,6.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,NUMERO DE CEDULA,MUJER,19,2.0,4.1,7,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,NO,NO,Plantel Oficial,402.925
1144,GESTIÓN CULTURAL Y COMUNICATIVA,4.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,4.1,2,1,,MAGDALENA,PLATO,COLOMBIA,SI,NO,Plantel Oficial,343.121
1145,BIOLOGÍA,3.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,4.2,2,1,,MAGDALENA,ARIGUANÍ,COLOMBIA,SI,NO,Plantel Oficial,439.254
1146,BIOLOGÍA,3.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,4.3,31,1,,CESAR,ASTREA,COLOMBIA,NO,NO,Plantel Oficial,441.25
1147,BIOLOGÍA,3.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,NUMERO DE CEDULA,MUJER,19,2.0,4.4,3,1,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,427.199
1148,INGENIERÍA BIOLÓGICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,TARJETA IDENTIDAD,MUJER,18,,,53,1,,CESAR,VALLEDUPAR,COLOMBIA,SI,NO,Plantel Oficial,487.908
1149,INGENIERÍA BIOLÓGICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,NUMERO DE CEDULA,HOMBRE,23,,,6,2,,DPTO EXTRANJERO,CIUDAD EXTRANJERO,DESCONOCIDA,NO,NO,Plantel Oficial,461.278
1150,INGENIERÍA BIOLÓGICA,4.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,NUMERO DE CEDULA,MUJER,23,2.0,4.3,1,1,,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,459.684
1151,GEOGRAFÍA,7.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,NUMERO DE CEDULA,MUJER,25,2.0,4.2,11,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,559.356
1152,ESTADÍSTICA,4.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,HOMBRE,18,2.0,4.3,21,3,,SANTANDER,BUCARAMANGA,COLOMBIA,NO,MÚLTIPLE,Plantel Privado,487.193
1153,ESTADÍSTICA,9.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,NUMERO DE CEDULA,HOMBRE,28,2.0,4.6,2,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,655.474
1154,INGENIERÍA BIOLÓGICA,4.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2023-2S,TARJETA IDENTIDAD,MUJER,17,2.0,4.6,2,1,,CESAR,LA PAZ,COLOMBIA,SI,NO,Plantel Oficial,468.433
1155,INGENIERÍA BIOLÓGICA,4.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2023-2S,TARJETA IDENTIDAD,MUJER,18,2.0,4.7,17,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,620.528
1156,GEOGRAFÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,NUMERO DE CEDULA,HOMBRE,19,,,55,7,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,522.975
1157,INGENIERÍA BIOLÓGICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,MUJER,16,,,28,0,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,514.274
1158,INGENIERÍA MECATRÓNICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,35,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,554.861
1159,BIOLOGÍA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,VÍCTIMAS DEL CONFLICTO ARMADO EN COLOMBIA,2024-1S,NUMERO DE CEDULA,MUJER,19,,,3,1,,CESAR,AGUSTÍN CODAZZI,COLOMBIA,SI,NO,Plantel Oficial,480.657
1160,INGENIERÍA MECATRÓNICA,0.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,REGULAR DE PREGRADO,2024-1S,TARJETA IDENTIDAD,HOMBRE,17,,,16,3,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,584.663
1161,ESTADÍSTICA,54.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,21,10.0,3.6,1,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1162,INGENIERÍA MECATRÓNICA,40.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,8.0,4.6,1,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
1163,BIOLOGÍA,17.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-2S,TARJETA IDENTIDAD,MUJER,20,4.0,3.4,41,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,446.389
1164,ESTADÍSTICA,56.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,20,9.0,3.5,3,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1165,BIOLOGÍA,81.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,4.1,5,1,SAN DIEGO,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,
1166,GEOGRAFÍA,83.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,24,10.0,4.3,3,1,BECERRIL,CESAR,BECERRIL,COLOMBIA,NO,NO,Plantel Oficial,
1167,INGENIERÍA MECATRÓNICA,59.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,4.2,11,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1168,INGENIERÍA MECATRÓNICA,24.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,TARJETA IDENTIDAD,HOMBRE,22,9.0,3.6,2,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1169,INGENIERÍA MECATRÓNICA,43.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,3.3,24,3,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
1170,BIOLOGÍA,66.5,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,20,9.0,4.1,2,1,,SUCRE,SAN ONOFRE,COLOMBIA,NO,NO,Plantel Oficial,
1171,BIOLOGÍA,72.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,23,10.0,4.1,22,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1172,INGENIERÍA BIOLÓGICA,73.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,4.0,2,1,VALLEDUPAR,CESAR,AGUACHICA,COLOMBIA,NO,NO,Plantel Oficial,
1173,ESTADÍSTICA,30.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,21,7.0,3.5,6,1,LA PAZ,CESAR,EL PASO,COLOMBIA,NO,NO,Plantel Oficial,
1174,BIOLOGÍA,48.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,23,9.0,3.2,9,1,LA PAZ,CESAR,LA PAZ,COLOMBIA,NO,PSICOSOCIAL,Plantel Oficial,
1175,GESTIÓN CULTURAL Y COMUNICATIVA,76.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,21,10.0,4.4,7,2,LA PAZ,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
1176,GEOGRAFÍA,29.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,21,9.0,3.6,1,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
1177,INGENIERÍA MECATRÓNICA,64.8,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.4,1,1,LA PAZ,CESAR,ASTREA,COLOMBIA,NO,NO,Plantel Oficial,
1178,BIOLOGÍA,77.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,23,10.0,4.1,3,1,SAN DIEGO,CESAR,SAN DIEGO,COLOMBIA,NO,NO,Plantel Oficial,
1179,ESTADÍSTICA,39.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,23,9.0,3.5,2,1,SAN DIEGO,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1180,INGENIERÍA BIOLÓGICA,42.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,21,10.0,3.7,12,3,LA PAZ,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
1181,INGENIERÍA BIOLÓGICA,72.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,22,10.0,3.9,4,2,LA PAZ,CESAR,LA PAZ,COLOMBIA,NO,NO,Plantel Oficial,
1182,INGENIERÍA MECATRÓNICA,58.2,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,28,10.0,3.7,22,0,SAN DIEGO,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Privado,
1183,GEOGRAFÍA,85.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,21,9.0,4.2,6,2,,CESAR,BOSCONIA,COLOMBIA,NO,NO,Plantel Oficial,
1184,GEOGRAFÍA,88.7,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,MUJER,20,9.0,4.2,6,1,,MAGDALENA,PLATO,COLOMBIA,NO,NO,Plantel Oficial,
1185,GEOGRAFÍA,58.2,TRASLADO,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,5.0,3.9,17,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1186,INGENIERÍA MECATRÓNICA,67.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,4.2,10,1,,BOLÍVAR,CARTAGENA DE INDIAS,COLOMBIA,NO,NO,Plantel Oficial,
1187,ESTADÍSTICA,56.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2020-1S,NUMERO DE CEDULA,HOMBRE,21,9.0,4.0,5,1,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1188,BIOLOGÍA,48.0,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,25,10.0,3.3,3,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1189,BIOLOGÍA,29.6,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,24,6.0,3.4,8,2,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1190,INGENIERÍA MECATRÓNICA,47.3,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,24,9.0,3.3,1,0,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1191,BIOLOGÍA,39.1,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,HOMBRE,27,9.0,3.8,15,0,,CESAR,PUEBLO BELLO,COLOMBIA,NO,NO,Plantel Oficial,
1192,GEOGRAFÍA,84.4,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2019-2S,NUMERO DE CEDULA,MUJER,23,10.0,3.8,3,1,VALLEDUPAR,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,
1193,BIOLOGÍA,17.9,EXAMEN DE ADMISIÓN A LA UNIVERSIDAD,PROGRAMA DE ADMISIÓN ESPECIAL PARA LOS PROGRAMAS DE PREGRADO SEDE LA PAZ,2022-1S,NUMERO DE CEDULA,HOMBRE,18,5.0,3.7,5,2,,CESAR,VALLEDUPAR,COLOMBIA,NO,NO,Plantel Oficial,409.54
